corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a40,64.069,5.39717273,46.08842713,,POIN_REP0000002330655576,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,139,36152,36,D,PR valide,PR,01PR139DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,65.017,5.40699794,46.09354707,,POIN_REP0000002330655444,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,138,35152,35,D,PR valide,PR,01PR138DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,66.026,5.41991363,46.09493361,,POIN_REP0000002330655469,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,137,34152,34,D,PR valide,PR,01PR137DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,67.018,5.43072309,46.09974318,,POIN_REP0000002330655490,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,136,33152,33,D,PR valide,PR,01PR136DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,68.026,5.44257039,46.10355733,,POIN_REP0000002330655531,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,135,32152,32,D,PR valide,PR,01PR135DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,69.039,5.45494739,46.10657863,,POIN_REP0000002330655593,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,134,31152,31,D,PR valide,PR,01PR134DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,69.989,5.46491173,46.11159973,,POIN_REP0000002330655477,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,133,30152,30,D,PR valide,PR,01PR133DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,70.883,5.47600528,46.11389799,,POIN_REP0000002330655485,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,132,29152,29,D,PR valide,PR,01PR132DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,71.790,5.48775254,46.11350507,,POIN_REP0000002330655581,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,131,28152,28,D,PR valide,PR,01PR131DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,72.796,5.49488906,46.12105955,,POIN_REP0000002330655527,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,130,27152,27,D,PR valide,PR,01PR130DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,73.769,5.50222895,46.12817129,,POIN_REP0000002330655532,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,129,26152,26,D,PR valide,PR,01PR129DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
